class,model_name,description,status
Tags,20ANR,20 Ton Tandem Air Tilt/No Ramp,1
Tags,20ART,20 Ton Tandem Air Tilt/Air Ramp,1
Tags,20BWS2X,20 Ton Tandem Non Tilt Deckover,0
Tags,20BWS3X,20 Ton Non Tilt Tridem Deckover Electric Brake,0
Tags,20FDNT,20 Ton Tandem Flat Deck Non Tilt,1
Tags,20FDNT ECO,20 Ton Tandem Flat Deck Non Tilt Deckover,0
Tags,20FDNT ECO New Jersey Turnpike Authority,20 Ton Flat Deck Non Tilt Deckover New Jersey Turnpike Authority,1
Tags,20MTT,20 Ton Tandem  Manual Tilt,0
Tags,20NTT,20 Ton Tandem Non Tilt,1
Tags,20NTTS,20 Ton Tandem Non Tilt Sprayer,0
Tags,20PLS2X,20 Ton Tandem Pallet Loading,0
Tags,20PT2X,20 Ton Tandem Pup,0
Tags,25ANR,25 Ton Tridem Air Tilt/No Ramp,1
Tags,25ANR-F,25 Ton Tridem Air Tilt/No Ramp,1
Tags,25ART,25 Ton Tridem Air Tilt/Air Ramp,1
Tags,25ART-F,25 Ton Tridem Air Tilt/Air Ramp,1
Tags,25BWS3X,25 Ton Tridem Non Tilt Deckover,0
Tags,25FDNT,25 Ton Tridem Flat Deck Non Tilt,1
Tags,25FDNT ECO,25 Ton Tridem Flat Deck Non Tilt Deckover,0
Tags,25MTT,25 Ton Manual Tilt Tridem,1
Tags,25NTT,25 Ton Tridem Non Tilt,1
Tags,25NTT-F,25 Ton Tridem Non Tilt,1
Tags,25PT3X,25 Ton Tridem Pup,0
Tags,25PVR,25 Ton Air Tilt/Air Ramp Paver Tridem,1
Tags,30ANR,30 Ton Tridem Air Tilt/No Ramp,1
Tags,30ANR-F,30 Ton Tridem Air Tilt/No Ramp,1
Tags,30ART,30 Ton Tridem Air Tilt/Air Ramp,1
Tags,30FDNT,30 Ton Flat Deck Non Tilt,1
Tags,30NTT,30 Ton Tridem Non Tilt,1
Tags,30NTT-F,30 Ton Tridem Non Tilt,0
Tags,30PVR,30 Ton Air Tilt/Air Ramp Paver Tridem,1
Tags,40EPT1X,40 ft. Extendable Pole,0
Tags,WTT2X,Tandem Water Treatment Trailer,0
IMPLEMENT CLASS,53ET3X,This should already have a description,1
